timestamp,file_name,person_count,helmet_count,vest_count,no_helmet_count,no_vest_count,risk_level
2026-04-15 23:47:00,Ekran görüntüsü 2026-04-15 232731.png,5,5,1,0,4,Yüksek
2026-04-16 10:03:24,Ekran görüntüsü 2026-04-15 232731.png,5,5,1,0,4,Yüksek
2026-04-16 13:06:28,Ekran görüntüsü 2026-04-15 232731.png,5,5,1,0,4,HIGH
